0.0001,0.7107,0.7153
0.0002,0.7472,0.7465
0.0003,0.7672,0.7535
0.0004,0.7819,0.7639
0.0005,0.7932,0.7708
0.0006,0.801,0.7674
0.0007,0.8097,0.7569
0.0008,0.8149,0.7569
0.0009,0.821,0.7535
0.001,0.8254,0.7535
0.002,0.8705,0.7535
0.003,0.8983,0.7431
0.004,0.9114,0.7431
0.005,0.9244,0.7326
0.006,0.9331,0.7326
0.007,0.9427,0.7361
0.008,0.947,0.7361
0.009,0.9522,0.7361
0.01,0.9548,0.7361
0.02,0.9783,0.7257
0.03,0.9878,0.7153
0.04,0.993,0.7153
0.05,0.9948,0.7153
0.06,0.9974,0.7153
0.07,0.9983,0.7083
0.08,0.9991,0.7083
0.09,0.9991,0.7118
0.1,0.9991,0.7083
0.2,1.0,0.7083
0.3,1.0,0.7049
0.4,1.0,0.691
0.5,1.0,0.687
0.6,1.0,0.6806
0.7,1.0,0.6806
0.8,1.0,0.6806
0.9,1.0,0.6806
1.0,1.0,0.684
2.0,1.0,0.6806
3.0,1.0,0.6806
4.0,1.0,0.6771
5.0,1.0,0.684
6.0,1.0,0.684
7.0,1.0,0.684
8.0,1.0,0.684
9.0,1.0,0.687
10.0,1.0,0.687
20.0,1.0,0.684
30.0,1.0,0.687
40.0,1.0,0.691
50.0,1.0,0.687
60.0,1.0,0.691
70.0,1.0,0.691
80.0,1.0,0.687
90.0,1.0,0.6806
0.0005,0.7932,0.7708
