0.0001,0.4874,0.5278
0.0002,0.4874,0.5278
0.0003,0.4874,0.5278
0.0004,0.4874,0.5278
0.0005,0.4874,0.5278
0.0006,0.4874,0.5278
0.0007,0.4874,0.5278
0.0008,0.4874,0.5278
0.0009,0.4874,0.5278
0.001,0.4874,0.5278
0.002,0.4874,0.5278
0.003,0.4874,0.5278
0.004,0.4874,0.5278
0.005,0.4874,0.5278
0.006,0.4874,0.5278
0.007,0.4874,0.5278
0.008,0.4874,0.5278
0.009,0.5178,0.5312
0.01,0.5482,0.5521
0.02,0.6603,0.6528
0.03,0.7202,0.7049
0.04,0.7576,0.7326
0.05,0.7785,0.7431
0.06,0.7924,0.7465
0.07,0.8028,0.7465
0.08,0.8141,0.7
0.09,0.8271,0.7639
0.1,0.8367,0.7639
0.2,0.8992,0.7465
0.3,0.9357,0.7292
0.4,0.9444,0.7222
0.5,0.9522,0.7222
0.6,0.9566,0.7187
0.7,0.96,0.7118
0.8,0.9626,0.7083
0.9,0.9635,0.7083
1.0,0.9644,0.7083
2.0,0.9713,0.6944
3.0,0.9739,0.6944
4.0,0.9748,0.6944
5.0,0.9765,0.6944
6.0,0.9765,0.6944
7.0,0.9774,0.6944
8.0,0.9765,0.6944
9.0,0.9765,0.691
10.0,0.9783,0.6979
20.0,0.9774,0.6944
30.0,0.9783,0.6944
40.0,0.9774,0.6979
50.0,0.9783,0.6944
60.0,0.9783,0.691
70.0,0.9783,0.6979
80.0,0.9783,0.6979
90.0,0.9783,0.7014
0.09,0.8271,0.7639
